id,entry,lifeStats,sort
kTvrB3H9l3,AA6xOLuLb4Xu,"(H0OypennUP , OdmA2pewCX)",eJasLBptrF
P2n9PcHHbN,AAA9cdOPR0yk,"(6oIb3uddj4 , 5Ajwmb98Yz)",H60K2nFivx
FJXGiOJzBv,AAbiDR2cAky5,"(w6rharU44J , BGhrdzNCJR)",nU1BSY5ozO
yYM4OKFJIo,AAOo8wnmkv84,"(5tiRxsZeQE , hfk3lKvoU2)",fp879BB7Zf
YeuHWzzuMA,AAr1ykwE31Wn,"(koCAfympLj , PIAXvjNPSJ)",lEahhQdZ0C
KjEZtItB1n,AADKSA9sTEuh,"(FIHACf9lvO , UiadpwJKKO)",Kq9SRD6NJ6
awggQY2U88,AAIYnzXRZ8jT,"(R6AHgSqdQS , 0OsAQJ4YxR)",qZl5gRnMHQ
iGBJXfdS7T,AAeeDfZkC1fU,"(gqeRfidpNe , vcpCnxEukd)",jzN5OfaEiQ
WMNeQa4QUy,AA8YBqlsy3ev,"(RUsnqJPk6j , iMVgYs70Lh)",lAYgIMRJQ2
lpOTrVVHF3,AAQo19DYIZeg,"(KUV4jZWjLU , FTcb6oJr2O)",vhZpASHfbl
XiV2WpBrhH,AB09bhksMdBt,"(zFZ0JplTMR , MKzpUMSHhM)",UhmgEUCOuM
KWsvJGMQlE,ABe5IkE6Or0u,"(yytKbKNTjE , 1zHocV3YSE)",stMvdqToXD
HtBXBT6mZQ,ABigedhKgDWh,"(pVrQRaeY1h , P791LwdMs8)",Ymdp69fdMv
rVHrqthNY8,ABKHwdAxoDHy,"(YfHo5RZ9PS , 3HYHP9hAGj)",NiDGNSsjkM
1B6X7Vy3Ue,ABgf9jTcg3Yo,"(B52Xz8lz1r , SXdkDbgYp7)",AX5ckDWP6z
Ca6JS7IZXH,AB4kO0G97VtJ,"(5Cqjpc9VER , sIBDKRXudv)",yOQrfnD2YF
Bxmen2JVJG,ABGJzSEGD4wI,"(IKR7WtLpVF , vEIvLbAAvP)",COPPYVcJjg
z0pWUrmUJD,ABHzNUt6STGV,"(6oaqMwkdTz , 7FQv0rCuke)",bZAlXEcocE
gWleHHkOOs,ABrCo2Daacmm,"(AdtWifs0Cb , LjmUBnqzhP)",Otx6R0wAPn
hEZoVWtwGv,ABsQBWoEZWUT,"(BBKSwOBdLK , b0SrqjMz2k)",RFPERLcDgD
EPOS8fvDBQ,ACKB0i6zQASd,"(MAAjFISjF4 , vpU17qy4Gx)",Y1R1QH5z4O
nOEgeT3lMZ,ACY3oyrHdORm,"(yt6nhlIZxk , E8PnnkIU3i)",zD6hEhCgfr
pjGK8yLMNo,AC67pAWftwPs,"(jtzRidzyhx , oumKrOC25w)",T0KheItJWJ
zIDeT6z3fJ,ACzmXF3njKiY,"(kGYBUwvxEr , UPYO6B0OfG)",tj5rglfKIa
mzgaISlQTr,ACMCgWW1alrg,"(BARnZy5MC7 , H2WfAkF5hS)",PGwoX6WxpM
hudaIRu5cW,AC2lW9MbW5Ak,"(1dcoMmA6xc , t0aUxYMQX2)",1m8wGfsD6N
mFboNo1x1K,AC5lud1WAJxa,"(qPRqoImh9J , mevAVf6MWQ)",XnHgsMe151
EzbPe7Hpm6,ACCoBmhJh46t,"(0mlujY2ppg , reB0xnZFLa)",msFSIdF0t0
CRhCTTpy5Q,ACn19PAlSky9,"(JJexb5uu06 , ggNDGbZjdP)",3pBrhTWUFd
PL01l6l8ou,ACbKNemwGcb8,"(L0HhAtfpeT , PeqUG0mEv2)",MHwQzma7pW
PA9m8fbALc,ADYkvMx1v8jM,"(QWmVwHNy8r , yL7kiIVgAM)",s7s9GV38dt
fqZ9PbL2qE,ADzcQQdMzTMI,"(0XoYYKM7Hc , T6v3aRmfQ5)",2O52L2YYJB
nyJQM8JXyn,ADkBXSTYFiGJ,"(BnmuvHYhck , 1v8cwxMIb0)",WWVP583y2s
KXb19sVjVR,ADsf0BDNISP4,"(kVv2NFdWFY , JFmePpFuaF)",7IF0LyKnFe
sAip83fhpK,ADWd1nxp81QK,"(LC6rgy5Xsy , wJL9pZTMBK)",rqFkj5dIEv
oxx85euVUk,AD5ErKcKXAce,"(E0o3cHJELc , cv91HL8Alq)",jLAuPJv7Hi
NxZpEQgsqw,ADVYHddRmLXq,"(JFFgPstAgB , VLA66LloFG)",jB2TFvyTQV
GCTGt7Jtdu,AD5Qh60kUQr0,"(Ntnq6JZUgf , 4tbzoj8zbs)",oG23esqOaj
XLKLP51W8I,ADoGzZi1A56c,"(mGWezsSIbP , QzRsCDG5WX)",7TvMLZkraL
4dpRGYF3OE,ADZIRVgghSsd,"(tzkc80uGKm , yqDyrcUBjJ)",yPf3GhmIOc
zqShG935P5,AE5wVFPdjnte,"(niKymTRiwn , qj6eGkBCdD)",COGdJSZOLk
y3jvKUxnB5,AE17nzmXDtGQ,"(cmk0JVnAL5 , HdVmePOZDf)",hCH0jajGMa
nxvjsUy7f2,AEtOUy47E8NM,"(nJLWtTBZl3 , FUYHe0lYZh)",YjmOKmQvUt
ToOCnQ7XsW,AE1PQGUVk5hT,"(DfFNh9XQjp , xnPfg4UB3i)",P24rmj7qSW
5zk1sfCQlu,AEV6aC9BXspp,"(qnU9N5VHfX , Y9qIqunXIB)",BGmYH3rHy5
ySqu9W3KCX,AE1doum83box,"(xyvWYEhy84 , tqMYxVMSKG)",3oYj1aTcB2
mZ6hi5rMsd,AEEDYbO1bIxb,"(oPvme85xom , aMqLOGwpxA)",L90BrPxHuk
7sLI8iVnLQ,AEzbJgZNDkJa,"(w6c6uYB37X , TuTtdINoWZ)",pQoWMRIOnA
FC8NAQjsmN,AExm2D4rRnGO,"(Q5gDtQmhx0 , kASIgTRTeN)",rTrwxczMkd
zd0xUw7pNH,AEbIxbuWK2wd,"(YDvyRutOqZ , eMH3j3bA2I)",H3Dnj02B3l
Px6QbJOkiJ,AFAteqPGH8oy,"(XOwqXrcviu , 4QRQnsrOyZ)",iNOc8RpAp3
6b94AoUrws,AFv1J3cnn8hM,"(nG0PwAyhVc , I9qEa99EgU)",yNeXhKQ2xV
grVg7lmGrP,AFaD2fYBZaRJ,"(7p9IxmeVMU , rm2oOVgC57)",nUMDCaSeQy
83MvLO4Vof,AFpWXhAlkDqw,"(zcM4uIuasR , laBgLZKwjE)",McJUDBpbre
G5FdF80XNL,AFR1dwHaGVVh,"(yywr4t1bY9 , nZpoRVF3Te)",3lp1Yobi2I
10DM0XgYVK,AFd9znBVwU1q,"(w3nXpQQ0n8 , udrhUtjSvo)",7zunVsFp7N
6p1p1le12c,AF4rkjAbAf6F,"(2Zn5gr5XWX , AiBcY1L4IG)",0lTBIU9YLc
ypp4PLEgKw,AFPcMcCeqlHn,"(CT1lw83rxh , tMaLX62sHU)",Tl73QZY7Jo
wwMr6lfi1Y,AFfcKWRTyDMt,"(klmUEPkrCk , cBhV0sFaZt)",D3KFEfeugI
axumePOgyD,AFcshG0ufoWD,"(T7inIY6ZRC , OgUOcCOJ95)",k9siZm1veH
z3IWIwEcO8,AGZWhD4a5wAV,"(9Pv7YkgwPN , bxQJwxipuD)",EovZHWFs14
Wcqtvl4AWb,AG6kPgYZ4cB4,"(8AArXMVikm , 90a47kuLDc)",dKpkesI39o
WbGwI8oL07,AGVM2P2CaEhY,"(QBUbDLcks0 , FugKtBhiAj)",Nf4dEmRNjl
yXyKpcXYu4,AGPxCvjr3Ud3,"(WWibby8bqy , 7KsJsVCNhc)",SxzPBaggL1
2efd3rpsAB,AG6sTLAyuQAc,"(2YbwsQpymh , N3k2RydGwM)",46gokJrd8d
GmufhjL4xu,AGMQW9ekIT2X,"(s9Rt9xEc9i , cQwmrpuAMv)",NP1SftxpvE
EDHTNHJOIR,AGycemjjtygA,"(CPGiBJniPq , LgjuoDT3HV)",PEwt9nCoEy
161jSskllR,AGhYULmOmgfI,"(OYNveUD8zw , KC1bgNBPFf)",C4XWnoohzt
GS3FShei03,AGgupy0mwMdH,"(cCuoNKIf53 , QQUZlA1EQ6)",49cenLDeus
0ZMVeVNlxg,AGV1VtwChyKd,"(tsCK5GL1qY , uJsFX84eG6)",R0mfphAhzW
QDYnrtkKDA,AHcU3ALV9GOS,"(yVFRKeFJ7d , iqx11QPVSg)",BVAuClJ6BK
0JXpwlJOqc,AH1jy4HAauop,"(mub9erZfZq , CnLVCPKgVk)",TTkUGYc1qZ
zJ4RhrWNtD,AH9lN3hEQrCb,"(isbmpH8EdR , n6hzHMWLu8)",OZZzWDOkSy
pldBL5KqaH,AHKfeWmwkG4g,"(iMJLNljWJz , alSf5UDg3I)",h8R6KrkULb
MDuyeW3WEU,AHtGYPTLB1zp,"(3LV4aH7kkW , XBHdvISpgP)",Ic8nSngZiH
N0WVjY7HdO,AHSP6EjhSzFq,"(nkRoJ8W1zl , 5OLrA5NQ0B)",0jdzMpzgTt
n5UXNUDyGt,AH4uEPebJK5y,"(RqusQTl2GM , PZfmOzVcDO)",AlWTs6r5mB
UnJEs0pWfH,AHPlj53HaAob,"(4scQuTKJX2 , 1JwAi7fqfD)",TbzGyHG6UY
9Bja4hBiP9,AHX0vdEAzSTx,"(zGl4CrWrje , 8kY3VEGZdC)",gfuU8yVhOt
3KoDMslXqw,AH0Lz9qK10Yq,"(Qam3PgkLpl , evlvIrzn77)",NmzmkzClZL
V5jlobTEID,AIgJ8yRpdgQh,"(0eHe9UfIIi , wlYhS8GHtK)",ePGOtECAcD
FpTyeQqoPl,AIziR5IitXtC,"(Etun85P9bf , oxTaf6jpXA)",1pQXLdG0Wf
Bskohwlfjv,AIgc8XWpw6Dk,"(U3xYT4jAxd , 5NZoDuXmPv)",fvTShbugOY
n6OykkWXIY,AIBoMKOgngp9,"(UqbuXcOtCY , OGYKIXPZ6r)",54HLSyF40D
y3G2PhrJCB,AITNPLG0M5KB,"(6ApuexXUTc , 959sBwPTZ2)",YvxgIsLncB
TRUbP30um8,AI1b5hbjya0r,"(CxyIiyoXgh , JhgcN91Cfj)",X1gxYqTNq7
G9MNH7Vxd0,AIXz5VHVpYMU,"(1BTby4a1sf , ALbDG9bdUB)",Tv6HrdfTxX
ZUSLNBDyqC,AI30DzwniW8u,"(EbDt799XuW , rj3hYDKvSx)",s6aR91CdFB
NkWM5E3yD4,AIPu05xBSmrP,"(d8cb2y4PBz , 0teZyMLvmG)",1hITTkBkID
